"Reference","Qty","Value","DigiKey_PN","SKU","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C2,C3,C4,C5,C6,C7,C8,C9","8","0.1uF","","","","Excluded from BOM","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C10,C11","2","100pF","399-4264-ND","","","Excluded from BOM","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"D1","1","LED","","","","","","LED_THT:LED_D5.0mm","~"
"H1,H2,H3,H4,H5,H6","6","MountingHole","SJ5003-0-ND","","","Excluded from BOM","Excluded from board","MountingHole:MountingHole_3.2mm_M3","~"
"J10","1","GPIO SEL","732-5316-ND","","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"R1","1","10K","","","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2,R3","2","100","","","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4","1","470","","","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","1","10K","","","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","~"
"RN1,RN2,RN3,RN6,RN8,RN9","6","10K","4609X-1-103LF-ND","","","","","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"RN4","1","4.7K","4611X-1-472LF-ND","","","","","Resistor_THT:R_Array_SIP11","http://www.vishay.com/docs/31509/csc.pdf"
"RN5","1","2.2K","4607X-1-222LF-ND","","","","","Resistor_THT:R_Array_SIP7","http://www.vishay.com/docs/31509/csc.pdf"
"RN7","1","10K","4604X-1-103LF-ND","","","","","Resistor_THT:R_Array_SIP4","http://www.vishay.com/docs/31509/csc.pdf"
"J11","1","POWER","277-1025-ND","1757268","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","~"
"C1","1","1000uf","493-10815-ND","Nichicon URS1C102MHD","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"J1,J2,J3,J4,J5,J6,J7,J8","8","Conn_02x40_Odd_Even","S7115-ND","Sullins PPTC402LFBN-RC","","","","Connector_PinSocket_2.54mm:PinSocket_2x40_P2.54mm_Vertical_Oval","~"
