"Reference","Qty","DigiKey_PN","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"D1","1","","PWR","","","","LED_THT:LED_D5.0mm","~"
"U6","1","MCP1318MT-46LE/OTCT-ND","MCP1316MT-46LE/OT","","","","SOT-23-5_MC_MCH","MCP1318MT-46LE/OT"
"U4","1","","Z84C00xxP","","","","Package_DIP:DIP-40_W15.24mm","https://archive.org/details/zilog-z-8400"
"U2,U3,U5,U7","4","296-1476-5-ND","SN74AHCT245N","","","","Package_DIP:DIP-20_W7.62mm_Socket",""
"U1","1","296-1088-1-ND","74AHC1G14","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering",""
"SW1","1","SW402-ND","RESET","","","","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","~"
"R2","1","","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","~"
"R1","1","","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"J4","1","732-2098-ND","Front Panel","","","","zx50_footprints:IDC-Header_2x05_P2.54mm_Horizontal_Edge","~"
"J3","1","732-2098-ND","Clock Mezzanine","","","","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Horizontal","~"
"J2","1","S1012E-02-ND","FrontPanelConnect","","","","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical","~"
"J1","1","A34273-40-ND","Zx50_EdgeConnector","","","","Connector_PinSocket_2.54mm:PinSocket_2x40_P2.54mm_Vertical_Oval","~"
"C9","1","399-1418-ND","10uF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~"
"C1,C2,C3,C4,C5,C6,C7,C8","8","BC1101CT-ND","0.1uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
